RowId,YearStart,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Class,Topic,Question,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Break_Out_Category,Break_Out,ClassId,TopicId,QuestionId,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationId,Geolocation
NHANES~1999-2000~59~NH001~OVR01~Crude,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.3,7.3,,,6.4,8.4,Overall,Overall,C1,T1,NH001,Crude,BOC01,OVR01,59,
NHANES~1999-2000~59~NH001~OVR01~Age-Standardized,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.9,7.9,,,6.8,9.0,Overall,Overall,C1,T1,NH001,AgeStdz,BOC01,OVR01,59,
NHANES~1999-2000~59~NH001~GEN01~Crude,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.6,8.6,,,7.1,10.4,Gender,Male,C1,T1,NH001,Crude,BOC02,GEN01,59,
NHANES~1999-2000~59~NH001~GEN01~Age-Standardized,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),9.7,9.7,,,8.0,11.6,Gender,Male,C1,T1,NH001,AgeStdz,BOC02,GEN01,59,
NHANES~1999-2000~59~NH001~GEN02~Crude,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),6.2,6.2,,,5.1,7.4,Gender,Female,C1,T1,NH001,Crude,BOC02,GEN02,59,
NHANES~1999-2000~59~NH001~GEN02~Age-Standardized,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),6.3,6.3,,,5.2,7.6,Gender,Female,C1,T1,NH001,AgeStdz,BOC02,GEN02,59,
NHANES~1999-2000~59~NH001~AGE02~Crude,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),1.0,1.0,,,0.2,3.9,Age,20-24,C1,T1,NH001,Crude,BOC03,AGE02,59,
NHANES~1999-2000~59~NH001~AGE04~Crude,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),1.3,1.3,,,0.9,2.0,Age,25-44,C1,T1,NH001,Crude,BOC03,AGE04,59,
NHANES~1999-2000~59~NH001~AGE05~Crude,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),9.7,9.7,,,8.0,11.6,Age,45-64,C1,T1,NH001,Crude,BOC03,AGE05,59,
NHANES~1999-2000~59~NH001~AGE06~Crude,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),23.9,23.9,,,20.6,27.6,Age,65+,C1,T1,NH001,Crude,BOC03,AGE06,59,
NHANES~1999-2000~59~NH001~AGE07~Crude,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),10.4,10.4,,,8.9,12.2,Age,35+,C1,T1,NH001,Crude,BOC03,AGE07,59,
NHANES~1999-2000~59~NH001~AGE08~Crude,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),27.9,27.9,,,23.0,33.5,Age,75+,C1,T1,NH001,Crude,BOC03,AGE08,59,
